StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AZ,TEPRB,36737,35506,35003,36668,36786,53947,62173,74733,83935,83154,83347,107529,146644,155841,228968,239058,317800,322606,282521,337892,363380,351173,369985,429319,444544,397320,536812,515728,616440,450382,564694,644099,632390,586912,624946,651061,644767,706795,693324,691893,705283,684649,690115,644196,653742,612016,512179,539623,577767,564053,580943,618126,598218,595210
AZ,TETCB,283075,304873,324948,348343,369697,375254,403499,414505,456162,498204,520418,554228,616472,670143,676350,660048,691920,738931,748032,786539,754566,787960,746562,758051,802689,843159,853027,865876,906477,943223,938975,944742,973175,988428,1042819,1079098,1144990,1169120,1222893,1264438,1311566,1321934,1315830,1334602,1385179,1426335,1472153,1499344,1467552,1379761,1380519,1421311,1393589,1414770
CA,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,552,648,492,732,684,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,611,668,670,631,529,618,651,686,754,725,298,526,620,576,691,758,1033,1211,1099,2145,5497,12429,13174,6797,9707,24810,24121,22795
CA,NGMPB,589695,633798,642889,736626,756640,752462,785759,776043,814571,772179,739624,700450,561778,507133,419144,365212,400199,353544,352084,282281,342208,414771,432487,463385,526963,546053,511411,468678,444233,404558,401147,414017,402192,352456,340053,308224,320466,313734,349864,410699,390975,408479,394507,373313,356231,353819,351100,342757,331210,309835,320143,279710,277596,287328
CA,NUETB,1,55,84,2288,4369,3193,1895,6503,17003,27127,34375,38137,34266,28689,41277,66855,53107,87396,83801,95320,53665,35367,41357,61214,153366,209565,277332,317298,327209,344146,345955,330684,369043,331724,352778,317794,358119,320194,362928,348736,366845,346911,358707,370958,315634,377313,333488,375427,339506,332218,336562,383644,193939,187162
CA,PAPRB,1771042,1737732,1720222,1745266,1740052,1835282,2002711,2083470,2177877,2176688,2158708,2079207,2012728,1949235,1873417,1868754,1890922,2027732,2013650,2043154,2070153,2119146,2164421,2170134,2213402,2285212,2192742,2114726,2057434,1920809,1861034,1853083,1771830,1699922,1659148,1618067,1637972,1653998,1645037,1583499,1572566,1511845,1495808,1438939,1392800,1329888,1295592,1267045,1243897,1200461,1167198,1126325,1143824,1153782
CA,REPRB,270161,248178,329046,360333,331757,418518,375877,473192,397366,544918,521978,533790,472312,553162,645073,578578,422852,338073,576601,559806,591928,502232,698981,807128,693614,593488,666981,522673,512100,738968,669385,653581,642364,820857,633675,846265,817820,760363,833064,760101,736692,608143,676325,719501,697549,742106,824034,634663,607812,652677,715969,847106,720113,762373
CA,ROPRB,270161,248178,329046,360333,331757,418518,375877,473192,397366,544918,521978,533790,472312,553162,645073,578578,422852,338073,576601,559806,591928,502232,698981,807128,693614,592910,666370,522006,511430,738337,668857,652962,641713,820171,632921,845540,817522,759837,832444,759525,736000,607385,675292,718290,696450,739962,818537,622234,594638,645881,706262,822296,695992,739579
CA,TEPRB,2630898,2619763,2692241,2844513,2832818,3009455,3166243,3339208,3406817,3520912,3454685,3351584,3081084,3038219,2978911,2879400,2767079,2806745,3026135,2980561,3057954,3071515,3337246,3501860,3587345,3635170,3648466,3423928,3341624,3408972,3278254,3252048,3186665,3204959,2985655,3090350,3134377,3048289,3190893,3103034,3067078,2875380,2925347,2902712,2762215,2803126,2804215,2619892,2522425,2495191,2539872,2636785,2335472,2390646
CA,TETCB,3451501,3610724,3725916,3925660,4221395,4387443,4647090,4841294,5115522,5357405,5499913,5748474,5873069,6048369,5817867,6034581,6188055,6363228,6474592,6729279,6541825,6333429,6077238,6093451,6534948,6603078,6502678,6939976,7145316,7421929,7445222,7343441,7309920,7152400,7280057,7302840,7425277,7542532,7835457,7856916,7926500,7960577,8013701,7895316,8262807,8169469,8293963,8268015,8088658,7807153,7802797,7791725,7581243,7684064
CO,CLPRB,78755,80305,73777,80589,95087,104585,114017,118755,121353,120742,131549,116528,120567,132175,148561,172499,202169,261877,299886,404689,412459,433371,401325,365235,395572,379500,334055,316144,347421,365336,404530,384207,414384,475039,554832,565841,547155,598037,651411,662659,648023,741186,788220,801108,889060,857038,805711,815511,714673,614581,551825,586847,629645,529096
CO,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,76,143,170,183,193,211,212,199,167,195,174,189,175,165,66,114,132,120,141,151,202,232,206,657,8849,12825,17014,17164,17976,17554,16552,17347
CO,NGMPB,110973,111735,105209,109217,118110,130580,141208,120740,125459,122700,109320,113866,122028,141643,151894,175021,190637,195174,185146,198966,215411,223927,240597,187028,194138,201025,183479,183677,213820,243041,268272,322489,362094,438568,489428,575906,623440,690687,744284,770228,803868,875597,998369,1080775,1151919,1222391,1298185,1339409,1497927,1626658,1737884,1831176,1901799,1804592
CO,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,6664,2316,7273,8261,6299,8162,598,-337,550,1812,6994,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,PAPRB,275320,271202,246367,222041,201579,194364,194254,196649,185235,164105,143393,158868,185687,212222,217546,220916,226154,228868,213423,187479,172852,175757,177161,168490,167301,175427,169992,167052,187642,177799,176627,182016,172765,170508,165955,162267,144727,148579,129711,107120,107190,95816,119028,124746,130686,134711,142460,151473,171645,175317,190037,227609,285998,379285
CO,REPRB,16914,15464,17144,17410,17865,16369,17380,16908,17248,18181,21329,25526,22935,23623,24207,24728,23636,23658,29391,33170,28582,28764,31887,35478,39290,41761,43869,32368,32338,30277,26402,31892,27779,31619,27345,33515,30473,33306,26264,28041,27080,23730,21086,21887,22475,32120,43991,52471,80232,80198,80627,103597,103400,118537
CO,ROPRB,16914,15464,17144,17410,17865,16369,17380,16908,17248,18181,21329,25526,22935,23623,24207,24728,23636,23658,29391,33170,28582,28741,31811,35336,39120,41579,43676,32157,32127,30078,26235,31696,27605,31430,27170,33350,30407,33192,26132,27921,26939,23579,20885,21655,22269,31463,35142,39646,63218,63034,62651,86043,86848,101190
CO,TEPRB,481962,478706,442497,429258,432641,445898,466858,453052,449294,425728,405592,414787,451217,509663,542209,593164,642596,711999,734510,826621,836576,870081,857268,764392,796899,797377,731946,701052,788215,822054,875832,920603,977021,1115734,1237560,1337529,1345796,1470609,1551671,1568048,1586160,1736330,1926703,2028517,2194140,2246259,2290347,2358864,2464477,2496753,2560372,2749230,2920842,2831511
CO,TETCB,424768,461946,468555,466131,498252,508906,532133,555507,622808,648930,677688,691983,756424,802038,787232,784588,818964,835293,850434,856285,838278,816435,833306,831600,867797,869818,859492,866210,899459,915293,932912,983716,983917,1051661,1053153,1078537,1128298,1125245,1170006,1189518,1251496,1353623,1353583,1354509,1382208,1416097,1432746,1484889,1493632,1465658,1507027,1474963,1445975,1471815
CT,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,NUETB,0,0,0,0,0,0,0,6056,33941,40166,39567,84173,83932,46911,88951,89590,136215,141876,151674,138231,129094,139788,150866,126367,154967,135127,197480,214482,235904,207033,209272,128355,175606,229006,210712,196995,65384,-1309,34022,132456,170674,161112,155777,167566,172470,162406,173111,171874,161305,174220,175074,166669,178959,178465
CT,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,REPRB,17406,17076,15937,16253,16703,15500,16243,18072,18657,19701,19293,20206,22712,21870,22509,22237,23862,24105,26391,29359,43748,42867,41444,48187,41070,40282,35510,30809,34409,36042,34713,34896,38927,39112,40445,46147,56059,50714,49194,49300,50589,29831,28341,31266,30241,25820,25775,24071,26478,29751,28112,29130,26110,28654
CT,ROPRB,17406,17076,15937,16253,16703,15500,16243,18072,18657,19701,19293,20206,22712,21870,22509,22237,23862,24105,26391,29359,43748,42867,41444,48187,41070,40282,35510,30809,34409,36042,34713,34896,38927,39112,40445,46147,56059,50714,49194,49300,50589,29831,28341,31266,30241,25820,25775,24071,26478,29751,28112,29130,26110,28654
CT,TEPRB,17406,17076,15937,16253,16703,15500,16243,24128,52598,59867,58859,104379,106643,68780,111459,111827,160076,165981,178065,167591,172842,182655,192310,174555,196037,175409,232990,245290,270312,243075,243985,163251,214533,268118,251157,243141,121443,49406,83217,181756,221264,190943,184118,198832,202711,188226,198886,195945,187783,203971,203186,195799,205069,207119
CT,TETCB,508131,518268,536794,545442,563712,569706,609518,624146,648817,667714,694004,682668,717707,743181,714248,689651,742265,748286,768902,755772,728307,695862,696822,688492,715162,723129,739790,763578,795530,811361,768285,767359,800879,789650,791322,774279,813075,803430,782824,825906,865112,830313,816441,895278,907899,864282,810851,842881,777309,761732,759694,735408,722984,748122
DC,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,REPRB,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,2849,2311,3654,2563,3226,3327,3047,2226,2378,2511,1283,1344,1411,1945,1848,1850,1921,1377,1221,1257,1353,864,878,923,940,45,43,47,55,42,102,293,294,339
DC,ROPRB,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,2849,2311,3654,2563,3226,3327,3047,2226,2378,2511,1283,1344,1411,1945,1848,1850,1921,1377,1221,1257,1353,864,878,923,940,45,43,47,55,42,102,293,294,339
DC,TEPRB,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,2849,2311,3654,2563,3226,3327,3047,2226,2378,2511,1283,1344,1411,1945,1848,1850,1921,1377,1221,1257,1353,864,878,923,940,45,43,47,55,42,102,293,294,339
DC,TETCB,119872,118176,120459,121016,132268,159170,169526,182216,181890,195629,205891,199397,188830,193442,171284,163161,164436,163353,160278,152431,153262,149272,163811,162575,167024,165934,174696,174234,174976,180533,181020,187140,186771,193439,188776,191024,188535,185282,181651,185745,192617,188764,192711,189136,196871,196021,182521,194953,186874,191266,186232,179913,168825,170934
DE,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,REPRB,4982,5101,5134,5356,5510,5577,5852,5783,6594,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2515,1653,1733,1783,2492,2421,2476,2641,2202,1935,1999,2288,1322,1311,1397,1430,951,862,1521,2955,3583,3583,4000,3550,3844
DE,ROPRB,4982,5101,5134,5356,5510,5577,5852,5783,6594,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2515,1653,1733,1783,2492,2421,2476,2641,2202,1935,1999,2288,1322,1311,1397,1430,951,862,1521,2955,3583,3583,4000,3550,3844
DE,TEPRB,4982,5101,5134,5356,5510,5577,5852,5783,6594,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2515,1653,1733,1783,2492,2421,2476,2641,2202,1935,1999,2288,1322,1311,1397,1430,951,862,1521,2955,3583,3583,4000,3550,3844
DE,TETCB,156707,150651,162273,173152,173552,184691,192954,187643,206991,219576,219874,222514,232722,246617,229120,219035,229418,227940,226572,245070,242632,195254,186602,197960,220573,214986,217108,227520,234168,241643,255443,253317,264229,268730,264056,265216,275814,276233,273796,286963,305217,292623,308936,303916,289853,302539,288662,293867,291769,260673,251608,270609,272006,274458
FL,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,NGMPB,41,40,40,48,55,146,289,168,147,68,0,1232,19608,39883,45573,60474,66295,70918,79568,79204,70632,56355,41540,35589,23720,20067,16513,15236,14010,13897,11694,8371,11274,11680,10844,9329,8866,8815,8416,8643,8975,7911,4923,4557,4366,3629,3494,2069,2545,263,12645,15352,785,297
FL,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,713,51038,87919,92177,95538,189076,172977,167438,182563,159362,213919,161446,261074,249204,233119,196026,277752,221356,230471,215001,262989,271916,278881,301978,267514,241023,326432,329450,336766,329825,351940,322868,325516,300127,327934,307215,335857,304544,250178,230369,187259,277169
FL,PAPRB,2140,2169,2430,2691,3596,8491,10434,9094,8549,10040,17394,31013,98003,189631,210836,242887,257868,270518,275709,273574,248739,201683,148631,112961,83880,66456,54421,47966,44927,42276,32915,27405,31465,32503,35339,33019,36494,37010,34632,28391,26831,25671,21077,18925,16843,14993,13688,12052,11327,4037,10307,11733,12383,12609
